TREEID,OBJECTID,ONSTREET,PARITY,CROSSSTREE,CROSSSTR_1,Location plain text,y,x,TREELOCATI,SITE,TREEPIT,TREECONDIT,DIAMETER,SPECIES,BOROUGH,ZIPCODE,FID_1,COMMDIST
23104,4826,MALCOLM X BOULEVARD,even,MAC DONOUGH STREET,DECATUR STREET,"304 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9291882448, 40.68232855,1,1,1,2,13,QUPA,Brooklyn,11233,30,303
23110,4829,MALCOLM X BOULEVARD,even,MAC DONOUGH STREET,DECATUR STREET,"310 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9291039, 40.6824731,1,1,1,2,12,QUPA,Brooklyn,11233,30,303
23112,4830,MALCOLM X BOULEVARD,even,DECATUR STREET,BAINBRIDGE STREET,"332 MALCOLM X BOULEVARD, Brooklyn, NY",-73.9290100532, 40.6814856,1,1,1,2,12,QUPA,Brooklyn,11233,30,303
3274,328,WILLIAMS AVENUE,even,DE WITT AVENUE,LINDEN BOULEVARD,"785 WILLIAMS AVENUE, Brooklyn, NY",-73.9290397778, 40.6822978888889,1,4,2,3,16,UNK,Brooklyn,11207,32,305
3277,329,WILLIAMS AVENUE,even,DE WITT AVENUE,LINDEN BOULEVARD,"789 WILLIAMS AVENUE, Brooklyn, NY",-73.8955831667, 40.6561263333333,1,4,3,2,16,UNK,Brooklyn,11207,32,305
3278,330,WILLIAMS AVENUE,even,DE WITT AVENUE,LINDEN BOULEVARD,"777 WILLIAMS AVENUE, Brooklyn, NY",-73.8955372, 40.6564511,1,4,3,2,15,UNK,Brooklyn,11207,32,305
3225,394,DE WITT AVENUE,odd,HINSDALE STREET,WILLIAMS AVENUE,"373 DE WITT AVENUE, Brooklyn, NY",-73.8956077584, 40.65661865,1,1,1,2,8,GLTR,Brooklyn,11207,32,305
3232,404,SNEDIKER AVENUE,odd,STANLEY AVENUE,DE WITT AVENUE,"303 STANLEY AVENUE, Brooklyn, NY",-73.8967033239, 40.65448875,12,2,1,2,2,GLTR,Brooklyn,11207,32,305
3235,405,SNEDIKER AVENUE,odd,STANLEY AVENUE,DE WITT AVENUE,"303 STANLEY AVENUE, Brooklyn, NY",-73.8967033239, 40.65448875,10,2,1,2,11,GLTR,Brooklyn,11207,32,305
3238,406,SNEDIKER AVENUE,odd,STANLEY AVENUE,DE WITT AVENUE,"303 STANLEY AVENUE, Brooklyn, NY",-73.8967033239, 40.65448875,8,2,1,2,12,GLTR,Brooklyn,11207,32,305
3240,407,SNEDIKER AVENUE,odd,STANLEY AVENUE,DE WITT AVENUE,"303 STANLEY AVENUE, Brooklyn, NY",-73.8967033239, 40.65448875,6,2,1,2,13,GLTR,Brooklyn,11207,32,305
